Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,26.260000,26.760000,25.799999,26.540001,26.135237,99621400
2020-09-08,26.139999,26.320000,25.389999,25.480000,25.091400,74978600
2020-09-09,25.639999,25.719999,25.230000,25.510000,25.120945,53822700
2020-09-10,25.700001,25.889999,25.080000,25.139999,24.756588,56609600
2020-09-11,25.219999,25.580000,25.090000,25.500000,25.111097,47708300
2020-09-14,25.670000,25.990000,25.540001,25.750000,25.357283,47802400
2020-09-15,25.770000,25.830000,25.190001,25.280001,24.894453,63820200
2020-09-16,25.280001,25.910000,25.049999,25.600000,25.209572,64598600
2020-09-17,25.129999,25.480000,25.100000,25.350000,24.963385,48862000
2020-09-18,25.150000,25.580000,25.100000,25.209999,24.825518,94055800
2020-09-21,24.570000,24.780001,24.030001,24.469999,24.096804,75218600
2020-09-22,24.270000,24.600000,23.809999,23.940001,23.574890,68665300
2020-09-23,24.100000,24.260000,23.260000,23.260000,22.905260,59950300
2020-09-24,23.379999,23.820000,22.950001,23.340000,22.984039,53570700
2020-09-25,23.280001,23.549999,23.129999,23.490000,23.131752,42111300
2020-09-28,23.879999,24.309999,23.790001,24.090000,23.722599,47996900
2020-09-29,23.980000,23.990000,23.530001,23.770000,23.407482,45695200
2020-09-30,23.780001,24.320000,23.770000,24.090000,23.722599,56226100
2020-10-01,24.270000,24.410000,23.860001,24.100000,23.732449,44782200
2020-10-02,23.639999,24.430000,23.570000,24.209999,23.840771,51682100
2020-10-05,24.520000,24.709999,24.379999,24.620001,24.244518,44396800
2020-10-06,24.920000,25.190001,24.280001,24.370001,23.998331,67541100
2020-10-07,24.629999,25.110001,24.600000,24.879999,24.500551,47648000
2020-10-08,24.950001,25.299999,24.809999,25.240000,24.855061,52080600
2020-10-09,25.340000,25.490000,25.040001,25.360001,24.973230,44511500
2020-10-12,25.299999,25.830000,25.240000,25.680000,25.288351,48362900
2020-10-13,25.639999,25.680000,24.840000,24.950001,24.569487,61186900
2020-10-14,24.350000,24.590000,23.590000,23.620001,23.259769,127409500
2020-10-15,23.590000,24.200001,23.480000,24.150000,23.781685,66832400
2020-10-16,24.200001,24.350000,23.940001,24.240000,23.870314,58357700
2020-10-19,24.299999,24.320000,23.690001,23.719999,23.358242,51377900
2020-10-20,23.889999,24.480000,23.879999,24.139999,23.771837,62476400
2020-10-21,24.219999,24.340000,24.010000,24.049999,23.683210,41564900
2020-10-22,24.049999,24.910000,24.000000,24.870001,24.490705,55402000
2020-10-23,25.240000,25.260000,24.709999,24.900000,24.520247,51007400
2020-10-26,24.469999,24.580000,24.150000,24.540001,24.165737,59450200
2020-10-27,24.290001,24.389999,23.809999,23.850000,23.486261,55009300
2020-10-28,23.410000,23.660000,23.120001,23.469999,23.112055,81942500
2020-10-29,23.360001,23.750000,23.120001,23.540001,23.180990,57490400
2020-10-30,23.490000,23.840000,23.240000,23.700001,23.338549,66453400
2020-11-02,23.889999,24.260000,23.469999,24.080000,23.712753,59756400
2020-11-03,24.580000,24.940001,24.510000,24.690001,24.313452,65106200
2020-11-04,23.889999,24.139999,23.270000,23.680000,23.318855,88845500
2020-11-05,23.900000,24.790001,23.860001,24.610001,24.234671,74722600
2020-11-06,24.930000,24.959999,24.230000,24.309999,23.939245,55454500
2020-11-09,26.600000,28.270000,26.299999,27.760000,27.336628,178378800
2020-11-10,27.490000,27.760000,27.180000,27.660000,27.238153,77694600
2020-11-11,27.750000,27.770000,27.120001,27.340000,26.923035,48360900
2020-11-12,26.840000,26.900000,26.309999,26.690001,26.282948,67912600
2020-11-13,26.879999,27.209999,26.760000,27.000000,26.588219,52421000
2020-11-16,27.860001,28.000000,27.180000,27.580000,27.159376,57396700
2020-11-17,27.250000,27.600000,27.010000,27.549999,27.129831,46402300
2020-11-18,27.629999,27.930000,26.959999,26.980000,26.568523,54416700
2020-11-19,26.930000,27.010000,26.650000,26.980000,26.568523,46423000
2020-11-20,26.740000,26.950001,26.629999,26.809999,26.401115,40538000
2020-11-23,27.110001,27.520000,27.059999,27.389999,26.972271,45421200
2020-11-24,27.930000,28.990000,27.920000,28.980000,28.538021,80387800
2020-11-25,28.709999,29.040001,28.480000,29.030001,28.587261,57249900
2020-11-27,28.969999,29.100000,28.809999,28.990000,28.547871,25971600
2020-11-30,28.719999,28.860001,28.100000,28.160000,27.730528,63567900
2020-12-01,28.740000,29.040001,28.670000,28.690001,28.252445,50255100
2020-12-02,28.690001,29.180000,28.530001,29.059999,28.616802,45257500
2020-12-03,28.940001,29.100000,28.629999,28.910000,28.646528,54013700
2020-12-04,29.200001,29.430000,29.000000,29.290001,29.023066,66188200
2020-12-07,28.900000,29.150000,28.690001,29.090000,28.824886,42197800
2020-12-08,28.860001,29.150000,28.770000,28.930000,28.666346,33869100
2020-12-09,29.250000,29.250000,28.750000,28.799999,28.537531,54886300
2020-12-10,28.629999,29.129999,28.469999,29.110001,28.844706,58859600
2020-12-11,28.680000,28.750000,28.299999,28.570000,28.309626,40538400
2020-12-14,28.920000,28.959999,28.139999,28.219999,27.962814,40267100
2020-12-15,28.350000,28.820000,28.250000,28.639999,28.378988,43672700
2020-12-16,28.799999,28.820000,28.440001,28.719999,28.458260,42463200
2020-12-17,28.709999,28.920000,28.530001,28.830000,28.567257,43182700
2020-12-18,28.889999,29.100000,28.570000,28.670000,28.408716,82817200
2020-12-21,29.100000,29.990000,28.730000,29.740000,29.468964,93397400
2020-12-22,29.780001,29.780001,29.170000,29.209999,28.943794,39054300
